Name,Country,Latitude,Longitude,Other Language Names
Abia,Nigeria,5.454095299,7.5153071,"""ref""=>""AB"", ""name""=>""Abia"", ""name:hu""=>""Abia"", ""name:ru""=>""Абия"", ""name:uk""=>""Абія"""
Adamawa,Nigeria,9.512977199,12.3881887,"""ref""=>""AD"", ""name""=>""Adamawa"", ""name:ar""=>""آدماوة"", ""name:ru""=>""Адамава"", ""name:uk""=>""Адамава"", ""alt_name:ar""=>""أداماوا"", ""official_name:ar""=>""ولاية آدماوة"""
Akwa Ibom,Nigeria,4.9408638,7.8412267,"""ref""=>""AK"", ""name""=>""Akwa Ibom"", ""name:ar""=>""أكوا إيبوم"", ""name:ru""=>""Аква-Ибом"", ""name:uk""=>""Аква-Ібом"", ""official_name:ar""=>""ولاية أكوا إيبوم"""
Anambra,Nigeria,6.218313599,6.9531842,"""ref""=>""AN"", ""name""=>""Anambra"", ""name:ar""=>""أنمبرة"", ""name:ru""=>""Анамбра"", ""name:uk""=>""Анамбра"", ""alt_name:ar""=>""أنامبرا"", ""official_name:ar""=>""ولاية أنمبرة"""
Bauchi,Nigeria,10.6228284,10.0287754,"""ref""=>""BA"", ""name""=>""Bauchi"", ""name:ar""=>""بوتشي"", ""name:ru""=>""Баучи"", ""name:uk""=>""Баучі"", ""official_name:ar""=>""ولاية بوتشي"""
Bayelsa,Nigeria,4.7629786,6.028898,"""ref""=>""BY"", ""name""=>""Bayelsa"", ""name:ar""=>""بايلسا"", ""name:ru""=>""Байельса"", ""name:uk""=>""Баєлса"", ""official_name:ar""=>""ولاية بايلسا"""
Benue,Nigeria,7.350574699,8.7772877,"""ref""=>""BE"", ""name""=>""Benue"", ""name:ru""=>""Бенуэ"", ""name:uk""=>""Бенуе"""
Borno,Nigeria,12.1875392,13.3080034,"""ref""=>""BO"", ""name""=>""Borno"", ""name:ru""=>""Борно"", ""name:uk""=>""Борно"""
Cross River,Nigeria,5.867196599,8.5204774,"""ref""=>""CR"", ""name""=>""Cross River"", ""name:ar""=>""كرس رفر"", ""name:ru""=>""Кросс-Ривер"", ""name:uk""=>""Кросс-Рівер"", ""official_name:ar""=>""ولاية كرس رفر"""
Delta,Nigeria,5.527306099,6.1784167,"""ref""=>""DE"", ""name""=>""Delta"", ""name:ru""=>""Дельта"", ""name:uk""=>""Дельта"""
Ebonyi,Nigeria,6.199691799,8.0348906,"""name""=>""Ebonyi"", ""name:ru""=>""Эбоньи"", ""name:uk""=>""Ебоньї"""
Edo,Nigeria,6.607657499,5.9722713,"""name""=>""Edo"", ""name:ru""=>""Эдо"", ""name:uk""=>""Едо"""
Ekiti,Nigeria,7.736890999,5.2738326,"""name""=>""Ekiti"", ""name:ar""=>""إكيتي"", ""name:ru""=>""Экити"", ""name:uk""=>""Екіті"""
Enugu,Nigeria,6.553609399,7.4143061,"""name""=>""Enugu"", ""name:ru""=>""Энугу"", ""name:uk""=>""Енугу"""
Federal Capital Territory,Nigeria,8.831122799,7.1724673,"""ref""=>""FCT"", ""name""=>""Federal Capital Territory"", ""name:de""=>""Bundeshauptstadtterritorium"", ""name:fr""=>""Territoire de la capitale fédérale"", ""name:ru""=>""Федеральная столичная территория"", ""name:uk""=>""Федеральна столична територія"""
Gombe,Nigeria,10.38301,11.206567,"""name""=>""Gombe"", ""name:ar""=>""غومبي"", ""name:fa""=>""گومبه"", ""name:ru""=>""Гомбе"", ""name:uk""=>""Гомбе"", ""name:ur""=>""گومبے"", ""name:azb""=>""قومبه"""
Imo,Nigeria,5.585945599,7.0669651,"""ref""=>""IM"", ""name""=>""Imo"", ""name:ar""=>""إمو"", ""name:ru""=>""Имо"", ""name:uk""=>""Імо"", ""official_name:ar""=>""ولاية إمو"""
Jigawa,Nigeria,12.3252362,9.5103296,"""name""=>""Jigawa"", ""name:ru""=>""Джигава"", ""name:uk""=>""Джігава"""
Kaduna,Nigeria,10.3825318,7.8533226,"""name""=>""Kaduna"", ""name:ar""=>""كادونا"", ""name:ru""=>""Кадуна"", ""name:uk""=>""Кадуна"""
Kano,Nigeria,11.8948389,8.5364136,"""name""=>""Kano"", ""name:ru""=>""Кано"", ""name:uk""=>""Кано"""
Katsina,Nigeria,12.5630825,7.6207063,"""name""=>""Katsina"", ""name:ru""=>""Кацина"", ""name:uk""=>""Кацина"""
Kebbi,Nigeria,11.4167574,4.1074545,"""name""=>""Kebbi"", ""name:ru""=>""Кебби"", ""name:uk""=>""Кеббі"""
Kogi,Nigeria,7.794960199,6.6868669,"""name""=>""Kogi"", ""name:ru""=>""Коги"", ""name:uk""=>""Когі"""
Kwara,Nigeria,8.836789099,4.6688487,"""name""=>""Kwara"", ""name:ru""=>""Квара"", ""name:uk""=>""Квара"""
Lagos,Nigeria,6.526903299,3.5774005,"""name""=>""Lagos"", ""name:ru""=>""Лагос"", ""name:uk""=>""Лагос"""
Nasarawa,Nigeria,8.438786799,8.2382849,"""name""=>""Nasarawa"", ""name:ar""=>""نصراوة"", ""name:ru""=>""Насарава"", ""name:uk""=>""Нассарава"", ""official_name:ar""=>""ولاية نصراوة"""
Niger,Nigeria,9.932608299,5.6511088,"""name""=>""Niger"", ""name:ru""=>""Нигерия"", ""name:uk""=>""Нігер"""
Ogun,Nigeria,6.978858199,3.4389293,"""name""=>""Ogun"", ""name:ru""=>""Огун"", ""name:uk""=>""Огун"""
Ondo,Nigeria,7.020968599,5.0567477,"""name""=>""Ondo"", ""name:ar""=>""أوندو"", ""name:ru""=>""Ондо"", ""name:uk""=>""Ондо"", ""official_name:ar""=>""ولاية أوندو"""
Osun,Nigeria,7.548404699,4.4978307,"""name""=>""Osun"", ""name:ru""=>""Осун"", ""name:uk""=>""Осун"""
Oyo,Nigeria,8.215124899,3.5642897,"""name""=>""Oyo"", ""name:ru""=>""Ойо"", ""name:uk""=>""Ойо"""
Plateau,Nigeria,9.058344599,9.6826289,"""name""=>""Plateau"", ""name:ru""=>""Плато"", ""name:uk""=>""Плато"""
Rivers,Nigeria,4.8416028,6.8604088,"""ref""=>""RI"", ""name""=>""Rivers"", ""name:ru""=>""Риверс"", ""name:uk""=>""Ріверс"""
Sokoto,Nigeria,13.0611195,5.3152203,"""name""=>""Sokoto"", ""name:ru""=>""Сокото"", ""name:uk""=>""Сокото"""
Taraba,Nigeria,8.014133399,10.7376336,"""ref""=>""TA"", ""name""=>""Taraba"", ""name:ru""=>""Тараба"", ""name:uk""=>""Тараба"""
Yobe,Nigeria,12.1233242,11.5065937,"""name""=>""Yobe"", ""name:ar""=>""يوبي"", ""name:fa""=>""یوبه"", ""name:ru""=>""Йобе"", ""name:uk""=>""Йобе"", ""name:ur""=>""یوبے"", ""name:azb""=>""یوبه"""
Zamfara,Nigeria,12.0078998,6.4191432,"""name""=>""Zamfara"", ""name:ru""=>""Замфара"", ""name:uk""=>""Замфара"""
