Name,Country,Longitude,Latitude
Abia,Nigeria,7.5153071,5.454095299
Adamawa,Nigeria,12.3881887,9.512977199
Akwa Ibom,Nigeria,7.8412267,4.9408638
Anambra,Nigeria,6.9531842,6.218313599
Bauchi,Nigeria,10.0287754,10.6228284
Bayelsa,Nigeria,6.028898,4.7629786
Benue,Nigeria,8.7772877,7.350574699
Borno,Nigeria,13.3080034,12.1875392
Cross River,Nigeria,8.5204774,5.867196599
Delta,Nigeria,6.1784167,5.527306099
Ebonyi,Nigeria,8.0348906,6.199691799
Edo,Nigeria,5.9722713,6.607657499
Ekiti,Nigeria,5.2738326,7.736890999
Enugu,Nigeria,7.4143061,6.553609399
Federal Capital Territory,Nigeria,7.1724673,8.831122799
Gombe,Nigeria,11.206567,10.38301
Imo,Nigeria,7.0669651,5.585945599
Jigawa,Nigeria,9.5103296,12.3252362
Kaduna,Nigeria,7.8533226,10.3825318
Kano,Nigeria,8.5364136,11.8948389
Katsina,Nigeria,7.6207063,12.5630825
Kebbi,Nigeria,4.1074545,11.4167574
Kogi,Nigeria,6.6868669,7.794960199
Kwara,Nigeria,4.6688487,8.836789099
Lagos,Nigeria,3.5774005,6.526903299
Nasarawa,Nigeria,8.2382849,8.438786799
Niger,Nigeria,5.6511088,9.932608299
Ogun,Nigeria,3.4389293,6.978858199
Ondo,Nigeria,5.0567477,7.020968599
Osun,Nigeria,4.4978307,7.548404699
Oyo,Nigeria,3.5642897,8.215124899
Plateau,Nigeria,9.6826289,9.058344599
Rivers,Nigeria,6.8604088,4.8416028
Sokoto,Nigeria,5.3152203,13.0611195
Taraba,Nigeria,10.7376336,8.014133399
Yobe,Nigeria,11.5065937,12.1233242
Zamfara,Nigeria,6.4191432,12.0078998
